TimePeriod,GeoType,GeoID,GeoRank,Geography,"Age-adjusted rate per 100,000",Number
2016,UHF42,101,4,Kingsbridge - Riverdale,181.3,160
2016,UHF42,102,4,Northeast Bronx,197.1,392
2016,UHF42,103,4,Fordham - Bronx Pk,246.6,571
2016,UHF42,104,4,Pelham - Throgs Neck,204.7,591
2016,UHF42,105,4,Crotona -Tremont,259.7,507
2016,UHF42,106,4,High Bridge - Morrisania,283.0,561
2016,UHF42,107,4,Hunts Point - Mott Haven,306.3,377
2016,UHF42,201,4,Greenpoint,151.4,157
2016,UHF42,202,4,Downtown - Heights - Slope,128.0,271
2016,UHF42,203,4,Bedford Stuyvesant - Crown Heights,266.7,791
2016,UHF42,204,4,East New York,274.9,465
2016,UHF42,205,4,Sunset Park,157.7,186
2016,UHF42,206,4,Borough Park,126.9,374
2016,UHF42,207,4,East Flatbush - Flatbush,192.0,556
2016,UHF42,208,4,Canarsie - Flatlands,194.8,399
2016,UHF42,209,4,Bensonhurst - Bay Ridge,150.0,310
2016,UHF42,210,4,Coney Island - Sheepshead Bay,161.3,444
2016,UHF42,211,4,Williamsburg - Bushwick,205.7,376
2016,UHF42,301,4,Washington Heights,130.1,329
2016,UHF42,302,4,Central Harlem - Morningside Heights,225.7,358
2016,UHF42,303,4,East Harlem,287.0,289
2016,UHF42,304,4,Upper West Side,107.1,231
2016,UHF42,305,4,Upper East Side,82.0,159
2016,UHF42,306,4,Chelsea - Clinton,95.2,110
2016,UHF42,307,4,Gramercy Park - Murray Hill,119.6,182
2016,UHF42,308,4,Greenwich Village - SoHo,59.9,46
2016,UHF42,309,4,Union Square - Lower East Side,154.3,286
2016,UHF42,310,4,Lower Manhattan,73.2,36
2016,UHF42,401,4,Long Island City - Astoria,147.1,277
2016,UHF42,402,4,West Queens,106.9,485
2016,UHF42,403,4,Flushing - Clearview,116.1,317
2016,UHF42,404,4,Bayside - Little Neck,81.7,80
2016,UHF42,405,4,Ridgewood - Forest Hills,88.8,91
2016,UHF42,406,4,Fresh Meadows,122.8,313
2016,UHF42,407,4,Southwest Queens,137.1,399
2016,UHF42,408,4,Jamaica,163.6,507
2016,UHF42,409,4,Southeast Queens,99.7,218
2016,UHF42,410,4,Rockaways,272.8,310
2016,UHF42,501,4,Port Richmond,276.5,177
2016,UHF42,502,4,Stapleton - St. George,229.9,283
2016,UHF42,503,4,Willowbrook,153.1,137
2016,UHF42,504,4,South Beach - Tottenville,157.4,307
2016,Borough,1,1,Bronx,237.3,"3,142"
2016,Borough,2,1,Brooklyn,181.9,"4,334"
2016,Borough,3,1,Manhattan,135.1,"2,056"
2016,Borough,4,1,Queens,130.8,"3,000"
2016,Borough,5,1,Staten Island,191.5,905
2016,Citywide,1,0,New York City,189.4,"15,191"